faixa_etaria,Cesáreo,Ignorado,Vaginal,total,Cesáreo_percentual,Ignorado_percentual,Vaginal_percentual
Adolescente (≤19),180927,374,252204,433505,41.73585079756866,0.08627351472301358,58.17787568770834
Adulto (30-34),487546,515,254023,742084,65.6995703990384,0.0693991515785275,34.231030449383084
Adulto jovem (25-29),529975,606,362665,893246,59.33136000609015,0.06784245325475849,40.600797540655094
Adulto maduro (35-39),334045,290,142420,476755,70.06638629904248,0.06082788853813804,29.872785812419377
Adulto tardio (≥40),107394,81,40221,147696,72.71286967825804,0.05484237894052648,27.23228794280143
Jovem (20-24),430327,640,422185,853152,50.439663741044974,0.07501594088743857,49.485320318067586
