escolaridade_categoria,Cesáreo,Ignorado,Vaginal,total,Cesáreo_percentual,Ignorado_percentual,Vaginal_percentual
1 a 3 anos,16662,54,21684,38400,43.390625,0.140625,56.46875
12 anos ou mais,608994,444,213578,823016,73.99540227650495,0.053947918387977876,25.95064980510707
4 a 7 anos,175150,332,207514,382996,45.731548110163025,0.08668497843319511,54.18176691140377
8 a 11 anos,1247465,1477,1009623,2258565,55.232636652033484,0.06539550555330487,44.70196784241322
Ignorado,18217,180,14514,32911,55.352313816049346,0.5469295980067455,44.100756585943905
Nenhuma,3726,19,6805,10550,35.317535545023695,0.18009478672985782,64.50236966824644
