escolaridade,quantidade,percentual
8 a 11 anos,2258565,63.685450020555834
12 anos ou mais,823016,23.206834575988637
4 a 7 anos,382996,10.799455679191345
1 a 3 anos,38400,1.0827765775124223
Ignorado,32911,0.9280015610028992
Nenhuma,10550,0.29748158574885564
