filhos_vivos,quantidade,percentual
0,1503920,42.40649350136672
1,1142267,32.20885293920266
2,541141,15.258718748220046
3,206772,5.830413502223922
4,82330,2.321484261109316
5,36472,1.0284121701831528
6,17205,0.4851346618776361
7,8236,0.23223301803104976
8,4122,0.11622929824234908
9,2106,0.05938352792294691
