raca_cor,quantidade,percentual
Parda,1964073,55.381568774076975
Branca,1180436,33.285115938865985
Preta,257618,7.264133758999876
Ignorado,91462,2.578982065948989
Indígena,36742,1.036025442993787
Amarela,16107,0.45417401911439026
